age,workclass,education-num,hours-per-week,capital-gain,occupation,marital-status,sex,race,education,fnlwgt,capital-loss,relationship,native-country
35,Private,13,45,5000,Prof-specialty,Married-civ-spouse,Male,White,Bachelors,200000,0,Husband,United-States
50,Self-emp-inc,16,60,10000,Exec-managerial,Married-civ-spouse,Male,White,Doctorate,250000,0,Husband,United-States
22,Private,10,20,0,Other-service,Never-married,Female,Black,HS-grad,150000,0,Own-child,United-States
45,Private,14,50,0,Adm-clerical,Married-civ-spouse,Female,White,Bachelors,180000,0,Wife,United-States
30,State-gov,12,40,0,Transport-moving,Never-married,Male,White,Some-college,120000,0,Own-child,United-States
55,Private,9,30,0,Farming-fishing,Married-civ-spouse,Male,White,HS-grad,100000,0,Husband,United-States
40,Self-emp-inc,18,55,20000,Prof-specialty,Married-civ-spouse,Male,White,Prof-school,300000,0,Husband,United-States
28,Private,11,38,0,Sales,Never-married,Female,Asian,Some-college,80000,0,Own-child,United-States
60,State-gov,8,25,0,Other-service,Divorced,Female,White,HS-grad,90000,0,Not-in-family,United-States
33,Private,15,48,3000,Exec-managerial,Married-civ-spouse,Male,White,Bachelors,220000,0,Husband,United-States
