feature,importance_mean,importance_std
marital-status,0.09933247007340655,0.0022967894249215194
capital-gain,0.06109041505201155,0.0014580466252960087
age,0.037617837742820015,0.002284580936125375
education-num,0.03335717399620284,0.0019335475070174283
hours-per-week,0.013059238233838666,0.0012854256053100245
capital-loss,0.01259416687704249,0.0008559101019527404
occupation,0.01091360735475827,0.0010882638250231964
relationship,0.002299380706837206,0.00019888377265645839
workclass,0.002239232245469347,0.0002720467313975214
sex,0.0013908597822522516,0.00029187975124470765
fnlwgt,0.000837036348895237,0.00033590685306198224
race,0.0007866900721886005,0.00035550799912661415
native-country,0.0006907288140140189,0.00025064825987453635
education,0.0001863249681501311,5.8154867700781105e-05
