match_id,year,round,match_date,venue,crowd,home_team,away_team,home_score,away_score,match_margin,match_result,home_win_rate_last3,home_win_rate_last5,home_win_rate_last10,home_avg_score_for_last5,home_avg_score_against_last5,home_win_streak,home_rest_days,home_ladder_pts_cum_pre,home_ladder_rank_pre,home_h2h_win_rate_prior,home_h2h_games_played_prior,home_venue_games_prior,home_venue_win_rate_prior,away_win_rate_last3,away_win_rate_last5,away_win_rate_last10,away_avg_score_for_last5,away_avg_score_against_last5,away_win_streak,away_rest_days,away_ladder_pts_cum_pre,away_ladder_rank_pre,away_h2h_win_rate_prior,away_h2h_games_played_prior,away_venue_games_prior,away_venue_win_rate_prior
1983-03-26__Princes Park__Carlton Blues__Richmond Tigers,1983,1,1983-03-26,Princes Park,28498.0,Carlton Blues,Richmond Tigers,136,76,60,Home Win,,,,,,,,0.0,1.0,,0,0,,,,,,,,,0.0,1.0,,0,0,
1983-03-26__Melbourne Cricket Ground__Collingwood Magpies__Melbourne Demons,1983,1,1983-03-26,Melbourne Cricket Ground,72274.0,Melbourne Demons,Collingwood Magpies,125,135,-10,Away Win,,,,,,,,0.0,1.0,,0,0,,,,,,,,,0.0,1.0,,0,0,
1983-03-27__Sydney Cricket Ground__Essendon Bombers__Sydney Swans,1983,1,1983-03-27,Sydney Cricket Ground,11916.0,Sydney Swans,Essendon Bombers,111,110,1,Home Win,,,,,,,,0.0,1.0,,0,0,,,,,,,,,0.0,1.0,,0,0,
1983-04-02__Western Oval__Carlton Blues__Western Bulldogs,1983,2,1983-04-02,Western Oval,20414.0,Western Bulldogs,Carlton Blues,99,82,17,Home Win,0.0,0.0,0.0,75.0,106.0,0.0,7.0,0.0,4.0,,0,0,,1.0,1.0,1.0,136.0,76.0,1.0,7.0,4.0,1.0,,0,0,
1983-04-02__Victoria Park__Collingwood Magpies__Geelong Cats,1983,2,1983-04-02,Victoria Park,34751.0,Collingwood Magpies,Geelong Cats,96,101,-5,Away Win,1.0,1.0,1.0,135.0,125.0,1.0,7.0,4.0,1.0,,0,0,,1.0,1.0,1.0,106.0,75.0,1.0,7.0,4.0,1.0,,0,0,
1983-04-02__Melbourne Cricket Ground__Melbourne Demons__Richmond Tigers,1983,2,1983-04-02,Melbourne Cricket Ground,41889.0,Richmond Tigers,Melbourne Demons,100,119,-19,Away Win,0.0,0.0,0.0,76.0,136.0,0.0,7.0,0.0,4.0,,0,0,,0.0,0.0,0.0,125.0,135.0,0.0,7.0,0.0,4.0,,0,1,0.0
1983-04-04__Windy Hill__Essendon Bombers__St Kilda Saints,1983,2,1983-04-04,Windy Hill,28071.0,Essendon Bombers,St Kilda Saints,131,70,61,Home Win,0.0,0.0,0.0,110.0,111.0,0.0,8.0,0.0,4.0,,0,0,,0.0,0.0,0.0,87.0,100.0,0.0,9.0,0.0,4.0,,0,0,
1983-04-04__Princes Park__Hawthorn Hawks__Sydney Swans,1983,2,1983-04-04,Princes Park,16295.0,Hawthorn Hawks,Sydney Swans,70,45,25,Home Win,1.0,1.0,1.0,131.0,112.0,1.0,9.0,4.0,1.0,,0,0,,1.0,1.0,1.0,111.0,110.0,1.0,8.0,4.0,1.0,,0,0,
1983-04-09__GMHBA Stadium__Geelong Cats__Richmond Tigers,1983,3,1983-04-09,GMHBA Stadium,21269.0,Geelong Cats,Richmond Tigers,94,46,48,Home Win,1.0,1.0,1.0,103.5,85.5,2.0,7.0,8.0,1.0,,0,0,,0.0,0.0,0.0,88.0,127.5,0.0,7.0,0.0,9.0,,0,0,
1983-04-09__Waverley Park__Carlton Blues__Collingwood Magpies,1983,3,1983-04-09,Waverley Park,69596.0,Carlton Blues,Collingwood Magpies,97,87,10,Home Win,0.5,0.5,0.5,109.0,87.5,0.0,7.0,4.0,3.0,,0,0,,0.5,0.5,0.5,115.5,113.0,0.0,7.0,4.0,3.0,,0,0,
1983-04-09__Moorabbin Oval__Hawthorn Hawks__St Kilda Saints,1983,3,1983-04-09,Moorabbin Oval,19227.0,St Kilda Saints,Hawthorn Hawks,42,171,-129,Away Win,0.0,0.0,0.0,78.5,115.5,0.0,5.0,0.0,9.0,,0,0,,1.0,1.0,1.0,100.5,78.5,2.0,5.0,8.0,1.0,,0,0,
1983-04-09__Western Oval__Melbourne Demons__Western Bulldogs,1983,3,1983-04-09,Western Oval,20485.0,Western Bulldogs,Melbourne Demons,111,79,32,Home Win,0.5,0.5,0.5,87.0,94.0,1.0,7.0,4.0,3.0,,0,1,1.0,0.5,0.5,0.5,122.0,117.5,1.0,7.0,4.0,3.0,,0,0,
1983-04-16__Aegis Park__North Melbourne Kangaroos__Richmond Tigers,1983,4,1983-04-16,Aegis Park,14970.0,North Melbourne Kangaroos,Richmond Tigers,127,103,24,Home Win,0.6666666666666666,0.6666666666666666,0.6666666666666666,109.33333333333333,73.33333333333333,1.0,6.0,8.0,3.0,,0,1,1.0,0.0,0.0,0.0,74.0,116.33333333333333,0.0,7.0,0.0,11.0,,0,0,
1983-04-16__Waverley Park__Geelong Cats__St Kilda Saints,1983,4,1983-04-16,Waverley Park,20826.0,St Kilda Saints,Geelong Cats,79,90,-11,Away Win,0.0,0.0,0.0,66.33333333333333,134.0,0.0,7.0,0.0,11.0,,0,0,,1.0,1.0,1.0,100.33333333333333,72.33333333333333,3.0,7.0,12.0,1.0,,0,1,1.0
1983-04-16__Princes Park__Hawthorn Hawks__Western Bulldogs,1983,4,1983-04-16,Princes Park,16504.0,Hawthorn Hawks,Western Bulldogs,97,118,-21,Away Win,1.0,1.0,1.0,124.0,66.33333333333333,3.0,7.0,12.0,1.0,,0,1,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,95.0,89.0,2.0,7.0,8.0,3.0,,0,0,
1983-04-16__Melbourne Cricket Ground__Carlton Blues__Melbourne Demons,1983,4,1983-04-16,Melbourne Cricket Ground,38544.0,Melbourne Demons,Carlton Blues,90,99,-9,Away Win,0.3333333333333333,0.3333333333333333,0.3333333333333333,107.66666666666667,115.33333333333333,0.0,7.0,4.0,7.0,,0,2,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,105.0,87.33333333333333,1.0,7.0,8.0,3.0,,0,0,
1983-04-23__Princes Park__Carlton Blues__Fitzroy Lions,1983,5,1983-04-23,Princes Park,25789.0,Carlton Blues,Fitzroy Lions,65,125,-60,Away Win,0.6666666666666666,0.75,0.75,103.5,88.0,2.0,7.0,12.0,1.0,,0,1,1.0,1.0,0.75,0.75,105.5,70.5,3.0,7.0,12.0,1.0,,0,0,
1983-04-23__Victoria Park__Collingwood Magpies__Hawthorn Hawks,1983,5,1983-04-23,Victoria Park,28506.0,Collingwood Magpies,Hawthorn Hawks,73,95,-22,Away Win,0.0,0.25,0.25,108.75,116.0,0.0,7.0,4.0,4.0,,0,1,0.0,0.6666666666666666,0.75,0.75,117.25,79.25,0.0,7.0,12.0,1.0,,0,0,
1983-04-25__Melbourne Cricket Ground__Richmond Tigers__Western Bulldogs,1983,5,1983-04-25,Melbourne Cricket Ground,51651.0,Richmond Tigers,Western Bulldogs,114,116,-2,Away Win,0.0,0.0,0.0,81.25,119.0,0.0,9.0,0.0,6.0,,0,1,0.0,1.0,0.75,0.75,100.75,91.0,3.0,9.0,12.0,2.0,,0,0,
1983-04-25__Waverley Park__Essendon Bombers__North Melbourne Kangaroos,1983,5,1983-04-25,Waverley Park,47722.0,Essendon Bombers,North Melbourne Kangaroos,128,123,5,Home Win,0.6666666666666666,0.5,0.5,109.5,98.75,1.0,9.0,8.0,4.0,,0,0,,0.6666666666666666,0.75,0.75,113.75,80.75,2.0,9.0,12.0,2.0,,0,1,0.0
1983-04-30__Windy Hill__Essendon Bombers__Western Bulldogs,1983,6,1983-04-30,Windy Hill,26387.0,Essendon Bombers,Western Bulldogs,181,49,132,Home Win,0.6666666666666666,0.6,0.6,113.2,103.6,2.0,5.0,12.0,5.0,,0,1,1.0,1.0,0.8,0.8,103.8,95.6,4.0,5.0,16.0,1.0,,0,0,
1983-04-30__Melbourne Cricket Ground__Melbourne Demons__Sydney Swans,1983,6,1983-04-30,Melbourne Cricket Ground,22590.0,Melbourne Demons,Sydney Swans,126,93,33,Home Win,0.3333333333333333,0.4,0.4,106.8,111.0,1.0,5.0,8.0,8.0,,0,3,0.3333333333333333,0.3333333333333333,0.4,0.4,82.6,125.4,1.0,6.0,8.0,8.0,,0,0,
