player_id,team,disposals_avg_last3,disposals_avg_last5,disposals_avg_last10,goals_avg_last3,goals_avg_last5,goals_avg_last10,fantasy_avg_last3,fantasy_avg_last5,fantasy_avg_last10,games_played_prior,home_away,win_rate_last5,ladder_rank_pre,rest_days
45439,St Kilda Saints,9.0,5.666666666666667,6.875,1.0,1.0,1.3333333333333333,26.666666666666668,25.2,36.9,42,A,0.2,1.0,196.0
45586,West Coast Eagles,17.5,12.5,14.88888888888889,2.5,2.3333333333333335,1.875,56.333333333333336,48.2,62.3,155,A,0.2,1.0,203.0
45690,Melbourne Demons,13.666666666666666,15.8,18.8,,,1.0,41.333333333333336,49.2,61.2,126,A,0.6,4.0,6.0
45789,Fremantle Dockers,7.666666666666667,6.2,5.333333333333333,,,,34.666666666666664,27.6,24.3,24,H,0.0,7.0,6.0
45866,Brisbane Lions,5.0,5.0,7.3,1.0,1.0,1.0,23.333333333333332,23.4,33.6,78,H,0.4,4.0,7.0
45718,Collingwood Magpies,18.0,13.6,12.0,,1.0,1.5,59.0,48.2,44.8,106,H,0.0,8.0,6.0
45571,Fremantle Dockers,2.0,3.6666666666666665,5.125,,2.0,2.0,8.333333333333334,14.8,24.5,40,A,0.0,8.0,7.0
45808,Port Adelaide Power,7.333333333333333,6.6,8.9,,1.0,1.0,27.666666666666668,26.4,36.9,23,H,0.8,1.0,8.0
45515,Port Adelaide Power,7.666666666666667,7.4,8.3,1.0,1.0,1.0,30.0,32.0,34.9,18,A,0.6,3.0,6.0
45740,North Melbourne Kangaroos,4.666666666666667,5.0,4.6,1.0,1.0,1.0,24.333333333333332,27.6,23.0,43,H,0.2,8.0,7.0
45376,Carlton Blues,3.5,3.5,3.5,,,,10.0,10.0,10.0,3,H,0.8,3.0,7.0
45421,Sydney Swans,9.333333333333334,10.6,8.9,1.0,1.0,1.1428571428571428,40.0,44.2,39.5,50,A,0.2,4.0,8.0
45364,Richmond Tigers,12.0,12.8,11.4,2.0,1.6666666666666667,1.5,53.333333333333336,53.6,45.0,23,H,0.4,2.0,6.0
45541,Collingwood Magpies,7.0,4.75,5.0,,,1.0,29.333333333333332,21.4,23.0,6,A,0.0,8.0,6.0
45411,Port Adelaide Power,4.0,4.5,4.5,,,,15.0,18.5,18.5,4,H,0.4,4.0,6.0
45349,Essendon Bombers,9.333333333333334,10.8,9.7,1.0,1.0,1.0,41.666666666666664,43.0,39.4,51,H,0.6,1.0,6.0
45379,Brisbane Lions,20.333333333333332,19.6,22.7,1.0,1.0,1.75,77.0,73.8,84.6,84,A,0.8,2.0,8.0
45920,Melbourne Demons,16.0,17.6,17.7,1.0,1.3333333333333333,1.4285714285714286,57.0,62.8,67.6,161,A,0.6,3.0,7.0
45769,Port Adelaide Power,8.0,8.6,10.4,1.5,1.3333333333333333,1.3333333333333333,38.0,34.6,40.7,160,A,0.2,5.0,8.0
