team_name,win_rate_last3,win_rate_last5,win_rate_last10,avg_score_for_last5,avg_score_against_last5,win_streak,rest_days,ladder_pts_cum_pre,ladder_rank_pre,h2h_win_rate_prior,h2h_games_played_prior,venue_games_prior,venue_win_rate_prior
Fitzroy Lions,0.0,0.0,0.0,56.6,137.6,0.0,7.0,4.0,4.0,0.3333333333333333,3,4,0.0
Brisbane Bears,0.6666666666666666,0.8,0.9,116.0,88.6,2.0,7.0,70.0,1.0,0.23076923076923078,13,25,0.12
Carlton Blues,0.3333333333333333,0.4,0.3,79.6,81.2,1.0,5.0,32.0,1.0,0.625,8,298,0.4597315436241611
Port Adelaide Power,0.0,0.0,0.3,59.8,116.6,0.0,6.0,32.0,3.0,0.8333333333333334,12,146,0.6232876712328768
Melbourne Demons,0.3333333333333333,0.2,0.2,90.8,85.4,0.0,6.0,28.0,4.0,0.4067796610169492,59,506,0.4782608695652174
North Melbourne Kangaroos,0.3333333333333333,0.2,0.2,77.0,106.4,1.0,6.0,22.0,4.0,0.4,45,253,0.4782608695652174
Richmond Tigers,0.0,0.2,0.2,64.8,89.4,0.0,6.0,20.0,5.0,0.21818181818181817,55,494,0.48785425101214575
Sydney Swans,0.6666666666666666,0.6,0.7,74.0,82.0,0.0,6.0,44.0,3.0,0.5777777777777777,45,9,0.7777777777777778
West Coast Eagles,0.0,0.0,0.0,59.8,116.6,0.0,6.0,4.0,6.0,0.4,50,92,0.45652173913043476
Western Bulldogs,1.0,0.8,0.8,116.4,62.2,4.0,7.0,56.0,5.0,0.5142857142857142,35,294,0.5272108843537415
St Kilda Saints,1.0,0.8,0.4,77.8,79.8,4.0,9.0,36.0,6.0,0.47058823529411764,17,4,0.5
Essendon Bombers,0.0,0.0,0.0,60.0,97.4,0.0,6.0,24.0,2.0,0.6666666666666666,15,24,0.625
Greater Western Sydney Giants,1.0,0.8,0.9,98.8,87.6,3.0,13.0,64.0,1.0,0.45454545454545453,11,105,0.6095238095238096
Fremantle Dockers,0.6666666666666666,0.8,0.8,93.6,85.6,1.0,13.0,64.0,1.0,0.6428571428571429,14,90,0.6
Adelaide Crows,0.6666666666666666,0.8,0.9,83.0,80.0,0.0,8.0,72.0,1.0,0.43902439024390244,41,144,0.5902777777777778
Gold Coast Suns,0.6666666666666666,0.6,0.7,93.8,78.6,2.0,7.0,64.0,2.0,0.2608695652173913,23,22,0.13636363636363635
Hawthorn Hawks,0.6666666666666666,0.8,0.7,97.8,69.2,2.0,7.0,68.0,2.0,0.46774193548387094,62,326,0.5828220858895705
Collingwood Magpies,0.6666666666666666,0.4,0.5,65.6,78.4,2.0,16.0,68.0,2.0,0.5,4,478,0.5481171548117155
Brisbane Lions,0.6666666666666666,0.8,0.7,92.8,70.6,2.0,7.0,74.0,2.0,0.4,35,66,0.3333333333333333
Geelong Cats,1.0,1.0,0.9,110.0,71.2,8.0,8.0,76.0,1.0,0.5714285714285714,35,219,0.6073059360730594
