city,location,hospital_name,distance_km
Lahore,Wapda Town,Shifa International Hospital,3.7
Lahore,Wapda Town,Ittefaq Hospital,5.7
Lahore,DHA Defence,Doctors Hospital,3.8
Karachi,Jamshed Town,Fauji Foundation Hospital,2.1
Karachi,Jamshed Town,South City Hospital,1.7
Lahore,Garden Town,Fauji Foundation Hospital,1.6
Karachi,Malir,Services Hospital,3.3
Karachi,North Nazimabad,Shifa International Hospital,4.8
Karachi,North Nazimabad,Doctors Hospital,1.5
Islamabad,DHA Defence,Ittefaq Hospital,4.4
Islamabad,DHA Defence,South City Hospital,2.8
Rawalpindi,Bahria Town Rawalpindi,Services Hospital,2.3
Karachi,Gadap Town,Aga Khan University Hospital,1.2
Lahore,Shershah Colony - Raiwind Road,Shifa International Hospital,5.3
Lahore,Shershah Colony - Raiwind Road,PIMS Hospital,4.0
Islamabad,F-7,Fauji Foundation Hospital,4.6
Faisalabad,Saeed Colony,Fauji Foundation Hospital,2.6
Faisalabad,Saeed Colony,Doctors Hospital,2.0
Islamabad,G-11,Fauji Foundation Hospital,3.1
Islamabad,F-10,PIMS Hospital,5.5
Lahore,Divine Gardens,PIMS Hospital,4.7
Lahore,Divine Gardens,Aga Khan University Hospital,1.2
Karachi,Scheme 33,South City Hospital,3.1
Lahore,Askari,South City Hospital,5.5
Lahore,Askari,Shifa International Hospital,2.6
Karachi,Bath Island,PIMS Hospital,4.0
Lahore,Main Canal Bank Road,Services Hospital,1.0
Karachi,BMCHS,Services Hospital,5.6
Islamabad,H-13,Services Hospital,4.9
Karachi,Gulistan-e-Jauhar,Ittefaq Hospital,6.0
Karachi,North Karachi,Doctors Hospital,5.9
Islamabad,G-9,Ittefaq Hospital,3.6
Islamabad,G-9,Doctors Hospital,3.5
Faisalabad,Others,Services Hospital,1.2
Islamabad,Bani Gala,Shifa International Hospital,1.8
Islamabad,Bani Gala,Doctors Hospital,2.4
Lahore,Lahore Canal Bank Cooperative Housing Society,Aga Khan University Hospital,3.5
Karachi,Bahria Town Karachi,Ittefaq Hospital,5.9
Islamabad,Bahria Town,Services Hospital,2.1
Islamabad,Bahria Town,PIMS Hospital,2.3
Rawalpindi,Askari 4,Aga Khan University Hospital,1.8
Rawalpindi,Askari 4,South City Hospital,2.5
Lahore,Al Rehman Garden,Services Hospital,2.4
Faisalabad,Eden Orchard,Shifa International Hospital,5.1
Lahore,Lalazar,Doctors Hospital,5.1
Lahore,Lalazar,Aga Khan University Hospital,3.7
Islamabad,I-10,Services Hospital,2.0
Karachi,DHA Defence,South City Hospital,3.3
Karachi,DHA Defence,Shifa International Hospital,3.3
Lahore,Bahria Town,Services Hospital,1.9
Lahore,Bahria Town,Aga Khan University Hospital,5.7
Islamabad,I-8,Fauji Foundation Hospital,2.0
Lahore,Habibullah Road,Fauji Foundation Hospital,0.8
Lahore,Sabzazar Scheme,Fauji Foundation Hospital,5.6
Islamabad,F-11,Shifa International Hospital,4.8
Islamabad,F-11,Ittefaq Hospital,2.9
Islamabad,Soan Garden,Fauji Foundation Hospital,2.3
Islamabad,Soan Garden,South City Hospital,4.6
Karachi,Korangi,Aga Khan University Hospital,5.5
Karachi,Korangi,PIMS Hospital,6.0
Lahore,Izmir Town,Shifa International Hospital,4.7
Karachi,Al-Manzar Society,Doctors Hospital,2.2
Lahore,Jubilee Town,PIMS Hospital,4.9
Lahore,Jubilee Town,Doctors Hospital,2.0
Islamabad,Ghauri Town,Ittefaq Hospital,4.8
Islamabad,Ghauri Town,Fauji Foundation Hospital,1.3
Lahore,Pak Arab Housing Society,Aga Khan University Hospital,2.1
Lahore,Pak Arab Housing Society,Services Hospital,5.8
Islamabad,Pakistan Town,Fauji Foundation Hospital,4.5
Faisalabad,Satiana Road,Aga Khan University Hospital,4.8
Faisalabad,Satiana Road,South City Hospital,2.3
Lahore,Harbanspura,Ittefaq Hospital,1.1
Faisalabad,Officers Colony,Services Hospital,4.3
Lahore,Anarkali,Aga Khan University Hospital,2.8
Islamabad,Bhara kahu,Aga Khan University Hospital,4.1
Islamabad,Bhara kahu,Ittefaq Hospital,2.9
Rawalpindi,Chakri,Fauji Foundation Hospital,2.3
Rawalpindi,Chakri,South City Hospital,4.6
Islamabad,F-8,South City Hospital,2.0
Islamabad,F-8,Services Hospital,5.3
Islamabad,G-13,PIMS Hospital,3.7
Lahore,IBL Housing Scheme,Doctors Hospital,4.9
Islamabad,D-17,Fauji Foundation Hospital,1.1
Lahore,Labor Colony,PIMS Hospital,5.6
Islamabad,National Police Foundation,Doctors Hospital,4.1
Rawalpindi,Adiala Road,Shifa International Hospital,5.1
Islamabad,Naval Anchorage,South City Hospital,3.6
Islamabad,Naval Anchorage,Fauji Foundation Hospital,4.2
Lahore,Gulberg,Ittefaq Hospital,4.6
Lahore,Lalazaar Garden,Doctors Hospital,4.0
