property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,area_marla,area_raw
16570556,4327,https://www.zameen.com/Property/wapda_town_phase_1_wapda_town_phase_1_block_k2_10_marla_house_is_available_for_sale_at_wadpa__town_phase_1_block_k2_at_prime_location-16570556-4327-1.html,House,22000000,Wapda Town,Lahore,Punjab,31.421046,74.263186,6,10 Marla,For Sale,5,06-11-2019,Lahore Associates,Ch Abid Hussain,10.0,10 Marla
14436786,1447,https://www.zameen.com/Property/dha_defence_dha_phase_5_10_marla_house_in_phase_5_amazing_location-14436786-1447-1.html,House,30000000,DHA Defence,Lahore,Punjab,31.462493,74.409342,4,10 Marla,For Sale,4,03-04-2019,Lions Home Design & Build,Asad Mirza,10.0,10 Marla
17182327,6933,https://www.zameen.com/Property/pechs_pechs_block_2_2nd_floor_portion_for_rent_westopen-17182327-6933-4.html,Upper Portion,53000,Jamshed Town,Karachi,Sindh,24.871447,67.058573,3,8 Marla,For Rent,3,07-11-2019,Dawn Estate Service,Sohail Ahmed,8.0,8 Marla
14159297,4,https://www.zameen.com/Property/lahore_garden_town_upper_portion_is_available_for_rent-14159297-4-4.html,Upper Portion,70000,Garden Town,Lahore,Punjab,31.503922,74.323139,0,2 Kanal,For Rent,3,05-25-2019,The Brokers Real Estate & Marketing,Attique Ur Rehman joiya,40.0,2 Kanal
12601278,9597,https://www.zameen.com/Property/malir_jamia_millia_road_2nd_floor_portion__for_sale-12601278-9597-1.html,Upper Portion,5500000,Malir,Karachi,Sindh,24.876195,67.179966,3,6 Marla,For Sale,2,10-20-2018,RealEstate Hub Direct,Unassigned,6.0,6 Marla
11946650,8944,https://www.zameen.com/Property/north_nazimabad_north_nazimabad_block_s_house_for_sale_single_storey-11946650-8944-1.html,House,32500000,North Nazimabad,Karachi,Sindh,24.952231,67.042321,6,16 Marla,For Sale,7,08-21-2018,RealEstate Hub Direct,Unassigned,16.0,16 Marla
16443217,339,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_house_with_a_prime_location_for_sale_in_dha_phase_ii_islamabad-16443217-339-1.html,House,45000000,DHA Defence,Islamabad,Islamabad Capital,33.527944,73.161392,6,1 Kanal,For Sale,6,06-03-2019,Gulf Properties,Qaiser Abbas Sial,20.0,1 Kanal
15870848,3036,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_3_asian_house_care_presents_8_beds_double_storey_with_basement_bungalow_at_prime_location_of_bahria_town_phase_3-15870848-3036-1.html,House,36000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550408,73.115473,9,1 Kanal,For Sale,8,07-03-2019,Asian House Care,Asian House Care,20.0,1 Kanal
16823585,6738,https://www.zameen.com/Property/surjani_town_surjani_town_sector_7a__type_b__3_rooms_super_luxury_apartments_is_available_for_sale_in_surjani_town_sector_7a-16823585-6738-1.html,Flat,2500000,Gadap Town,Karachi,Sindh,25.036072,67.065954,2,2.4 Marla,For Sale,2,06-21-2019,The Landers International,Muhammad Adeel,2.4,2.4 Marla
17439280,4391,https://www.zameen.com/Property/lahore_shershah_colony_raiwind_road_great_opportunity_for_you_to_have_the_property_of_your_choice-17439280-4391-4.html,Lower Portion,12000,Shershah Colony - Raiwind Road,Lahore,Punjab,31.410095,74.222553,1,3 Marla,For Rent,1,07-24-2019,Bajwa Sahib Estate Advisors,Younas,3.0,3 Marla
