city,location,school_name,distance_km
Lahore,Wapda Town,Beaconhouse School System,0.8
Lahore,Wapda Town,Roots International Schools,2.2
Lahore,Wapda Town,Convent of Jesus & Mary,1.5
Lahore,DHA Defence,Aitchison College,2.7
Lahore,DHA Defence,Lahore Grammar School,2.8
Karachi,Jamshed Town,Roots International Schools,2.6
Karachi,Jamshed Town,Divisional Public School,3.6
Karachi,Jamshed Town,Froebel's International,2.4
Lahore,Garden Town,The City School,2.5
Karachi,Malir,Froebel's International,2.8
Karachi,Malir,Divisional Public School,2.3
Karachi,North Nazimabad,Beaconhouse School System,1.9
Karachi,North Nazimabad,Divisional Public School,2.9
Islamabad,DHA Defence,Aitchison College,4.0
Rawalpindi,Bahria Town Rawalpindi,Divisional Public School,3.8
Karachi,Gadap Town,Convent of Jesus & Mary,2.1
Karachi,Gadap Town,Aitchison College,0.9
Karachi,Gadap Town,Roots International Schools,3.0
Lahore,Shershah Colony - Raiwind Road,Lahore Grammar School,2.6
Islamabad,F-7,Divisional Public School,2.4
Islamabad,F-7,Convent of Jesus & Mary,0.8
Faisalabad,Saeed Colony,Convent of Jesus & Mary,2.6
Faisalabad,Saeed Colony,Beaconhouse School System,4.4
Faisalabad,Saeed Colony,Aitchison College,4.0
Islamabad,G-11,Beaconhouse School System,3.7
Islamabad,G-11,Convent of Jesus & Mary,2.4
Islamabad,F-10,Froebel's International,1.3
Lahore,Divine Gardens,Froebel's International,3.7
Lahore,Divine Gardens,The City School,4.4
Karachi,Scheme 33,Divisional Public School,2.7
Karachi,Scheme 33,Froebel's International,1.0
Karachi,Scheme 33,The City School,0.6
Lahore,Askari,Froebel's International,1.5
Karachi,Bath Island,Lahore Grammar School,3.6
Karachi,Bath Island,Beaconhouse School System,1.1
Lahore,Main Canal Bank Road,Convent of Jesus & Mary,0.7
Karachi,BMCHS,Convent of Jesus & Mary,1.6
Karachi,BMCHS,Roots International Schools,2.5
Karachi,BMCHS,Froebel's International,3.7
Islamabad,H-13,Roots International Schools,2.2
Karachi,Gulistan-e-Jauhar,Divisional Public School,4.5
Karachi,Gulistan-e-Jauhar,Lahore Grammar School,3.8
Karachi,North Karachi,Divisional Public School,0.6
Karachi,North Karachi,Convent of Jesus & Mary,1.8
Karachi,North Karachi,Froebel's International,3.0
Islamabad,G-9,Lahore Grammar School,3.9
Islamabad,G-9,Aitchison College,3.2
Faisalabad,Others,Bahria College,4.3
Islamabad,Bani Gala,Lahore Grammar School,3.3
Islamabad,Bani Gala,Beaconhouse School System,4.3
Islamabad,Bani Gala,Bahria College,4.4
Lahore,Lahore Canal Bank Cooperative Housing Society,Bahria College,0.6
Karachi,Bahria Town Karachi,Aitchison College,1.4
Karachi,Bahria Town Karachi,Bahria College,1.4
Karachi,Bahria Town Karachi,Froebel's International,1.3
Islamabad,Bahria Town,Beaconhouse School System,0.8
Rawalpindi,Askari 4,Convent of Jesus & Mary,1.5
Rawalpindi,Askari 4,Froebel's International,4.4
Lahore,Al Rehman Garden,The City School,2.1
Lahore,Al Rehman Garden,Lahore Grammar School,0.7
Faisalabad,Eden Orchard,Bahria College,3.4
Lahore,Lalazar,Beaconhouse School System,1.0
Islamabad,I-10,Divisional Public School,1.5
Karachi,DHA Defence,Roots International Schools,1.1
Karachi,DHA Defence,The City School,1.5
Karachi,DHA Defence,Bahria College,3.5
Lahore,Bahria Town,Roots International Schools,4.2
Lahore,Bahria Town,Bahria College,0.6
Lahore,Bahria Town,Beaconhouse School System,2.3
Islamabad,I-8,Convent of Jesus & Mary,1.6
Lahore,Habibullah Road,Bahria College,2.2
Lahore,Habibullah Road,Lahore Grammar School,2.0
Lahore,Sabzazar Scheme,The City School,2.1
Lahore,Sabzazar Scheme,Aitchison College,4.0
Islamabad,F-11,Convent of Jesus & Mary,1.3
Islamabad,F-11,Froebel's International,2.0
Islamabad,Soan Garden,Bahria College,4.1
Islamabad,Soan Garden,Divisional Public School,2.7
Islamabad,Soan Garden,Beaconhouse School System,1.2
Karachi,Korangi,Lahore Grammar School,0.8
Lahore,Izmir Town,Convent of Jesus & Mary,1.8
Lahore,Izmir Town,The City School,2.0
Karachi,Al-Manzar Society,Bahria College,1.0
Karachi,Al-Manzar Society,Froebel's International,2.5
Lahore,Jubilee Town,Divisional Public School,0.5
Lahore,Jubilee Town,Convent of Jesus & Mary,2.1
Islamabad,Ghauri Town,Bahria College,4.3
Lahore,Pak Arab Housing Society,Bahria College,3.1
Lahore,Pak Arab Housing Society,Froebel's International,4.0
Islamabad,Pakistan Town,Roots International Schools,4.2
Islamabad,Pakistan Town,Aitchison College,1.4
Faisalabad,Satiana Road,Roots International Schools,3.6
Faisalabad,Satiana Road,Bahria College,1.3
Lahore,Harbanspura,Roots International Schools,0.6
Faisalabad,Officers Colony,Convent of Jesus & Mary,3.5
